date,close,asset,ticker_used
2023-01-26,81.01000213623047,crude,CL=F
2023-01-27,79.68000030517578,crude,CL=F
2023-01-30,77.9000015258789,crude,CL=F
2023-01-31,78.87000274658203,crude,CL=F
2023-02-01,76.41000366210938,crude,CL=F
2023-02-02,75.87999725341797,crude,CL=F
2023-02-03,73.38999938964844,crude,CL=F
2023-02-06,74.11000061035156,crude,CL=F
2023-02-07,77.13999938964844,crude,CL=F
2023-02-08,78.47000122070312,crude,CL=F
2023-02-09,78.05999755859375,crude,CL=F
2023-02-10,79.72000122070312,crude,CL=F
2023-02-13,80.13999938964844,crude,CL=F
2023-02-14,79.05999755859375,crude,CL=F
2023-02-15,78.58999633789062,crude,CL=F
2023-02-16,78.48999786376953,crude,CL=F
2023-02-17,76.33999633789062,crude,CL=F
2023-02-21,76.16000366210938,crude,CL=F
2023-02-22,73.94999694824219,crude,CL=F
2023-02-23,75.38999938964844,crude,CL=F
2023-02-24,76.31999969482422,crude,CL=F
2023-02-27,75.68000030517578,crude,CL=F
2023-02-28,77.05000305175781,crude,CL=F
2023-03-01,77.69000244140625,crude,CL=F
2023-03-02,78.16000366210938,crude,CL=F
2023-03-03,79.68000030517578,crude,CL=F
2023-03-06,80.45999908447266,crude,CL=F
2023-03-07,77.58000183105469,crude,CL=F
2023-03-08,76.66000366210938,crude,CL=F
2023-03-09,75.72000122070312,crude,CL=F
2023-03-10,76.68000030517578,crude,CL=F
2023-03-13,74.80000305175781,crude,CL=F
2023-03-14,71.33000183105469,crude,CL=F
2023-03-15,67.61000061035156,crude,CL=F
2023-03-16,68.3499984741211,crude,CL=F
2023-03-17,66.73999786376953,crude,CL=F
2023-03-20,67.63999938964844,crude,CL=F
2023-03-21,69.33000183105469,crude,CL=F
2023-03-22,70.9000015258789,crude,CL=F
2023-03-23,69.95999908447266,crude,CL=F
2023-03-24,69.26000213623047,crude,CL=F
2023-03-27,72.80999755859375,crude,CL=F
2023-03-28,73.19999694824219,crude,CL=F
2023-03-29,72.97000122070312,crude,CL=F
2023-03-30,74.37000274658203,crude,CL=F
2023-03-31,75.66999816894531,crude,CL=F
2023-04-03,80.41999816894531,crude,CL=F
2023-04-04,80.70999908447266,crude,CL=F
2023-04-05,80.61000061035156,crude,CL=F
2023-04-06,80.69999694824219,crude,CL=F
2023-04-10,79.73999786376953,crude,CL=F
2023-04-11,81.52999877929688,crude,CL=F
2023-04-12,83.26000213623047,crude,CL=F
2023-04-13,82.16000366210938,crude,CL=F
2023-04-14,82.5199966430664,crude,CL=F
2023-04-17,80.83000183105469,crude,CL=F
2023-04-18,80.86000061035156,crude,CL=F
2023-04-19,79.16000366210938,crude,CL=F
2023-04-20,77.29000091552734,crude,CL=F
2023-04-21,77.87000274658203,crude,CL=F
2023-04-24,78.76000213623047,crude,CL=F
2023-04-25,77.06999969482422,crude,CL=F
2023-04-26,74.30000305175781,crude,CL=F
2023-04-27,74.76000213623047,crude,CL=F
2023-04-28,76.77999877929688,crude,CL=F
2023-05-01,75.66000366210938,crude,CL=F
2023-05-02,71.66000366210938,crude,CL=F
2023-05-03,68.5999984741211,crude,CL=F
2023-05-04,68.55999755859375,crude,CL=F
2023-05-05,71.33999633789062,crude,CL=F
2023-05-08,73.16000366210938,crude,CL=F
2023-05-09,73.70999908447266,crude,CL=F
2023-05-10,72.55999755859375,crude,CL=F
2023-05-11,70.87000274658203,crude,CL=F
2023-05-12,70.04000091552734,crude,CL=F
2023-05-15,71.11000061035156,crude,CL=F
2023-05-16,70.86000061035156,crude,CL=F
2023-05-17,72.83000183105469,crude,CL=F
2023-05-18,71.86000061035156,crude,CL=F
2023-05-19,71.55000305175781,crude,CL=F
2023-05-22,71.98999786376953,crude,CL=F
2023-05-23,72.91000366210938,crude,CL=F
2023-05-24,74.33999633789062,crude,CL=F
2023-05-25,71.83000183105469,crude,CL=F
2023-05-26,72.66999816894531,crude,CL=F
2023-05-30,69.45999908447266,crude,CL=F
2023-05-31,68.08999633789062,crude,CL=F
2023-06-01,70.0999984741211,crude,CL=F
2023-06-02,71.73999786376953,crude,CL=F
2023-06-05,72.1500015258789,crude,CL=F
2023-06-06,71.73999786376953,crude,CL=F
2023-06-07,72.52999877929688,crude,CL=F
2023-06-08,71.29000091552734,crude,CL=F
2023-06-09,70.16999816894531,crude,CL=F
2023-06-12,67.12000274658203,crude,CL=F
2023-06-13,69.41999816894531,crude,CL=F
2023-06-14,68.2699966430664,crude,CL=F
2023-06-15,70.62000274658203,crude,CL=F
2023-06-16,71.77999877929688,crude,CL=F
2023-06-20,70.5,crude,CL=F
2023-06-21,72.52999877929688,crude,CL=F
2023-06-22,69.51000213623047,crude,CL=F
2023-06-23,69.16000366210938,crude,CL=F
2023-06-26,69.37000274658203,crude,CL=F
2023-06-27,67.69999694824219,crude,CL=F
2023-06-28,69.55999755859375,crude,CL=F
2023-06-29,69.86000061035156,crude,CL=F
2023-06-30,70.63999938964844,crude,CL=F
2023-07-03,69.79000091552734,crude,CL=F
2023-07-05,71.79000091552734,crude,CL=F
2023-07-06,71.80000305175781,crude,CL=F
2023-07-07,73.86000061035156,crude,CL=F
2023-07-10,72.98999786376953,crude,CL=F
2023-07-11,74.83000183105469,crude,CL=F
2023-07-12,75.75,crude,CL=F
2023-07-13,76.88999938964844,crude,CL=F
2023-07-14,75.41999816894531,crude,CL=F
2023-07-17,74.1500015258789,crude,CL=F
2023-07-18,75.75,crude,CL=F
2023-07-19,75.3499984741211,crude,CL=F
2023-07-20,75.62999725341797,crude,CL=F
2023-07-21,77.06999969482422,crude,CL=F
2023-07-24,78.73999786376953,crude,CL=F
2023-07-25,79.62999725341797,crude,CL=F
2023-07-26,78.77999877929688,crude,CL=F
2023-07-27,80.08999633789062,crude,CL=F
2023-07-28,80.58000183105469,crude,CL=F
2023-07-31,81.80000305175781,crude,CL=F
